id,brand,categories,ingredients,manufacturer,manufacturerNumber,name,text_corpus
98,Weber,"Food,Grocery","sea salt,garlic,spices,onion,red bell pepper and red pepper. all natural.,made with 100 sea salt.,rub into beef or pork roasts or season mushrooms,bell peppers and potatoes,gluten free.",Ach Food Companies Inc,2003533,New Weber Chicago Steak Seasoning Grilling 2.5Oz ~ Free S/H,"This product is a New Weber Chicago Steak Seasoning Grilling 2.5Oz ~ Free S/H from the brand Weber. It falls under the category of food,grocery and contains ingredients such as sea salt,garlic,spices,onion,red bell pepper and red pepper. all natural.,made with 100 sea salt.,rub into beef or pork roasts or season mushrooms,bell peppers and potatoes,gluten free.. It is manufactured by ach food companies inc (manufacturer code: 2003533)."
99,HERSHEY'S,"Food,Grocery","sugar,high fructose corn syrup,crisp rice,partially hydrogenated vegetable oil (palm kernel and soybean oil),vegetable oil (cocoa butter, palm, shea, sunflower and/or safflower oil),partially defatted peanuts,nonfat milk,chocolate,partially hydrogenated coconut oil,corn syrup solids,whey (milk),contains 2% or less of: dairy butter (milk),milk fat,salt,mono- and diglycerides,soy lecithin,molasses,barley malt,vanillin,artificial flavor,disodium phosphate. contains milk,soy,and peanut.",Hershey,332270,"Hershey'S Whatchamacallit King Size Candy Bar, 2.6 Oz","This product is a Hershey'S Whatchamacallit King Size Candy Bar, 2.6 Oz from the brand HERSHEY'S. It falls under the category of food,grocery and contains ingredients such as sugar,high fructose corn syrup,crisp rice,partially hydrogenated vegetable oil (palm kernel and soybean oil),vegetable oil (cocoa butter, palm, shea, sunflower and/or safflower oil),partially defatted peanuts,nonfat milk,chocolate,partially hydrogenated coconut oil,corn syrup solids,whey (milk),contains 2% or less of: dairy butter (milk),milk fat,salt,mono- and diglycerides,soy lecithin,molasses,barley malt,vanillin,artificial flavor,disodium phosphate. contains milk,soy,and peanut.. It is manufactured by hershey (manufacturer code: 332270)."
100,Jelly Belly,"Food,Grocery","sugar,corn syrup,modified food starch,contains 2% or less of the following apple juice concentrate,grape juice concentrate,lemon puree,cherry juice concentrate,orange puree,citric acid,fumaric acid,sodium citrate,sodium lactate,natural and artificial flavors,color added,red 40 lake,blue 1 & 2 lake,yellow 5 & 6 lake,beeswax,carnauba wax,confectioner's glaze.",Jelly Belly,607574,"Jelly Belly Jelly Beans, Sours","This product is a Jelly Belly Jelly Beans, Sours from the brand Jelly Belly. It falls under the category of food,grocery and contains ingredients such as sugar,corn syrup,modified food starch,contains 2% or less of the following apple juice concentrate,grape juice concentrate,lemon puree,cherry juice concentrate,orange puree,citric acid,fumaric acid,sodium citrate,sodium lactate,natural and artificial flavors,color added,red 40 lake,blue 1 & 2 lake,yellow 5 & 6 lake,beeswax,carnauba wax,confectioner's glaze.. It is manufactured by jelly belly (manufacturer code: 607574)."
101,dickinson,"Food,Grocery","fruit syrup,red raspberries,lemon juice concentrate,fruit pectin.","THE DICKINSON FAMILY, INC.",3803,"Dickinsons Spreadable Fruit, Red Raspberry","This product is a Dickinsons Spreadable Fruit, Red Raspberry from the brand dickinson. It falls under the category of food,grocery and contains ingredients such as fruit syrup,red raspberries,lemon juice concentrate,fruit pectin.. It is manufactured by the dickinson family, inc. (manufacturer code: 3803)."
102,Streit's,"Food,Grocery","potatoes (mono diglycerides sodium acid pyrophosphates),potato starch,onions,matzo meal (passover wheat flour water),cottonseed oil,salt,potassium chloride.",Aaron Industries Inc.,98993,Latkes Mix,"This product is a Latkes Mix from the brand Streit's. It falls under the category of food,grocery and contains ingredients such as potatoes (mono diglycerides sodium acid pyrophosphates),potato starch,onions,matzo meal (passover wheat flour water),cottonseed oil,salt,potassium chloride.. It is manufactured by aaron industries inc. (manufacturer code: 98993)."
103,Badia,"Food,Grocery","sea salt,yellow prussiate of soda. does not supply iodide. pure,distinctive flavor,dissolves quickly upon contact with moisture,harvested from the waters of the pacific ocean,kosher",Badia Spices Inc.,MCLANE500276733,"Badia Sea Salt Grinder, 4.25 Oz","This product is a Badia Sea Salt Grinder, 4.25 Oz from the brand Badia. It falls under the category of food,grocery and contains ingredients such as sea salt,yellow prussiate of soda. does not supply iodide. pure,distinctive flavor,dissolves quickly upon contact with moisture,harvested from the waters of the pacific ocean,kosher. It is manufactured by badia spices inc. (manufacturer code: mclane500276733)."
104,El Rio,"Food,Grocery","unbleached wheat flour,salt,dextrose,minced onion*,natural flavor (flavor, salt, yeast extract, and maltodextrin),ground chili peppers*,onion powder,spices and spice extracts,soybean oil,garlic powder,paprika extract (for color and flavor),paprika extract (for color and flavor),paprika,and parsley*.*dehydrated.","World Finer Foods, Inc.",976001,"El Rio All Natural Seasoning Mix Taco, 1.25 Oz","This product is a El Rio All Natural Seasoning Mix Taco, 1.25 Oz from the brand El Rio. It falls under the category of food,grocery and contains ingredients such as unbleached wheat flour,salt,dextrose,minced onion*,natural flavor (flavor, salt, yeast extract, and maltodextrin),ground chili peppers*,onion powder,spices and spice extracts,soybean oil,garlic powder,paprika extract (for color and flavor),paprika extract (for color and flavor),paprika,and parsley*.*dehydrated.. It is manufactured by world finer foods, inc. (manufacturer code: 976001)."
105,LOVE GROWN,"Food,Grocery","certified gluten-free oats,evaporated cane juice,almonds,raisins (raisin, sunflower oil),canola oil,coconut,sunflower seeds,vanilla,flaxseed,cinnamon,sea salt.",LOVE GROWN FOODS,1126192,"Love Grown Oat Clusters, Raisin Almond Crunch","This product is a Love Grown Oat Clusters, Raisin Almond Crunch from the brand LOVE GROWN. It falls under the category of food,grocery and contains ingredients such as certified gluten-free oats,evaporated cane juice,almonds,raisins (raisin, sunflower oil),canola oil,coconut,sunflower seeds,vanilla,flaxseed,cinnamon,sea salt.. It is manufactured by love grown foods (manufacturer code: 1126192)."
106,Sathers Candy,"Food,grocery","corn syrup,sugar,modified food starch (corn),artificial flavor,red 40.",Sathers Candy,1032,Sathers Artificially Flavored Cherry Slices Candy #10103 4.85 Oz - 12 Ea,"This product is a Sathers Artificially Flavored Cherry Slices Candy #10103 4.85 Oz - 12 Ea from the brand Sathers Candy. It falls under the category of food,grocery and contains ingredients such as corn syrup,sugar,modified food starch (corn),artificial flavor,red 40.. It is manufactured by sathers candy (manufacturer code: 1032)."
107,Spice Islands,"Food,Grocery","cinnamon quills or sticks are an ancient spice with culinary roots dating to pre-biblical times. today,spice islands selects only the finest-quality whole cinnamon for our cinnamon sticks. use cinnamon sticks to add a festive note and aromatic flavor to spiced cider,tea and coffee. cinnamon sticks also add depth to stewed meat,soups,pickles,puddings and compotes. try a cinnamon stick in homemade apple pie,cranberry or blueberry sauce. add a cinnamon stick while heating milk to make custard,vanilla sauce or pudding.",Spice Island,4010000227,Cinnamon Sticks,"This product is a Cinnamon Sticks from the brand Spice Islands. It falls under the category of food,grocery and contains ingredients such as cinnamon quills or sticks are an ancient spice with culinary roots dating to pre-biblical times. today,spice islands selects only the finest-quality whole cinnamon for our cinnamon sticks. use cinnamon sticks to add a festive note and aromatic flavor to spiced cider,tea and coffee. cinnamon sticks also add depth to stewed meat,soups,pickles,puddings and compotes. try a cinnamon stick in homemade apple pie,cranberry or blueberry sauce. add a cinnamon stick while heating milk to make custard,vanilla sauce or pudding.. It is manufactured by spice island (manufacturer code: 4010000227)."
108,Hodgson Mill,"Food,Grocery","100% whole grain brown rice flour,milled golden flax seed.",Hodgson Mill Inc.,64,"Hodgson Mill Gluten Free Lasagna Brown Rice Pasta, 8 Oz","This product is a Hodgson Mill Gluten Free Lasagna Brown Rice Pasta, 8 Oz from the brand Hodgson Mill. It falls under the category of food,grocery and contains ingredients such as 100% whole grain brown rice flour,milled golden flax seed.. It is manufactured by hodgson mill inc. (manufacturer code: 64)."
109,Crown Prince,"Food,Grocery","crab meat (crustacean shellfish),water,salt,citric acid (ph regulator),monosodium glutamate,sodium sulfite (whitening agent),.",Crown Prince,56,"Crown Prince Fancy White Crab Meat, 6 Oz","This product is a Crown Prince Fancy White Crab Meat, 6 Oz from the brand Crown Prince. It falls under the category of food,grocery and contains ingredients such as crab meat (crustacean shellfish),water,salt,citric acid (ph regulator),monosodium glutamate,sodium sulfite (whitening agent),.. It is manufactured by crown prince (manufacturer code: 56)."
110,S&B,"Food,grocery","mustard,turmeric.",S&B FOODS INC,10253,"S&B Oriental Hot Mustard Powder, 3 Oz","This product is a S&B Oriental Hot Mustard Powder, 3 Oz from the brand S&B. It falls under the category of food,grocery and contains ingredients such as mustard,turmeric.. It is manufactured by s&b foods inc (manufacturer code: 10253)."
111,La Preferida,"Food,Grocery","sardines,tomato sauce,spices and salt.",LA PREFERIDA INC,7152409423,"La Preferida Sardines In Tomato Sauce, 15 Oz","This product is a La Preferida Sardines In Tomato Sauce, 15 Oz from the brand La Preferida. It falls under the category of food,grocery and contains ingredients such as sardines,tomato sauce,spices and salt.. It is manufactured by la preferida inc (manufacturer code: 7152409423)."
112,Emeril's,"Food,Grocery","spices,oregano,basil,rosemary,parsley,marjoram,soybean oil.",EMERIL,978767,Emerils Essence Ital,"This product is a Emerils Essence Ital from the brand Emeril's. It falls under the category of food,grocery and contains ingredients such as spices,oregano,basil,rosemary,parsley,marjoram,soybean oil.. It is manufactured by emeril (manufacturer code: 978767)."
113,LOVE GROWN,"Food,grocery","certified gluten-free oats,brown sugar,raspberries,strawberries,cinnamon.",LOVE GROWN FOODS,1232255,"Love Grown Oats, Hot, Strawberry Raspberry","This product is a Love Grown Oats, Hot, Strawberry Raspberry from the brand LOVE GROWN. It falls under the category of food,grocery and contains ingredients such as certified gluten-free oats,brown sugar,raspberries,strawberries,cinnamon.. It is manufactured by love grown foods (manufacturer code: 1232255)."
114,Spice Islands,"Food,Grocery","originally discovered in the fabled spice islands,we now travel to the west indies to bring you this premium-quality aromatic ground nutmeg. we carefully select superior nutmeg nuts to dry and grind for use in this convenient shaker. ground nutmeg is a traditional favorite in home baking and is especially complementary in sweet breads,cakes,muffins,cookies and fruit pies. add to creamy soups,pasta and vegetable sauces and eggnog.",Spice Island,4010000260,"Spice Islands: Ground Nutmeg Spice, 2.1 Oz","This product is a Spice Islands: Ground Nutmeg Spice, 2.1 Oz from the brand Spice Islands. It falls under the category of food,grocery and contains ingredients such as originally discovered in the fabled spice islands,we now travel to the west indies to bring you this premium-quality aromatic ground nutmeg. we carefully select superior nutmeg nuts to dry and grind for use in this convenient shaker. ground nutmeg is a traditional favorite in home baking and is especially complementary in sweet breads,cakes,muffins,cookies and fruit pies. add to creamy soups,pasta and vegetable sauces and eggnog.. It is manufactured by spice island (manufacturer code: 4010000260)."
115,Orale!,"Food,Grocery",whole allspice.,Lisy Corp,176A,"Orale Whole Allspice, 1 Oz","This product is a Orale Whole Allspice, 1 Oz from the brand Orale!. It falls under the category of food,grocery and contains ingredients such as whole allspice.. It is manufactured by lisy corp (manufacturer code: 176a)."
116,Geisha,"Food,Grocery","crab meat,water,salt,salt sodium acid pyrophosphate (to maintain flavor and firmness),citric acid,calcium disodium edta (to retain color),sodium sulfite (preservative),.","Jfe Shoji Trade America, Inc.",165,White Crab Meat,"This product is a White Crab Meat from the brand Geisha. It falls under the category of food,grocery and contains ingredients such as crab meat,water,salt,salt sodium acid pyrophosphate (to maintain flavor and firmness),citric acid,calcium disodium edta (to retain color),sodium sulfite (preservative),.. It is manufactured by jfe shoji trade america, inc. (manufacturer code: 165)."
117,Snapple,"Food & Grocery,Beverages,Tea,Food,Grocery","filtered water,sugar,citric acid,tea,natural flavors.",Snapple Beverage Corp,106220,"Iced Tea, Lemon, 16 Fl Oz (473 Ml)","This product is a Iced Tea, Lemon, 16 Fl Oz (473 Ml) from the brand Snapple. It falls under the category of food & grocery,beverages,tea,food,grocery and contains ingredients such as filtered water,sugar,citric acid,tea,natural flavors.. It is manufactured by snapple beverage corp (manufacturer code: 106220)."
118,Nestle,"Food & Grocery,Gum & Candy,Chocolate,Food,Grocery","milk chocolate (sugar, chocolate, cocoa butter, nonfat milk, lactose, milkfat, soy lecithin, vanillin--an artificial flavor),crisped rice (rice flour, sugar, barley malt, salt),. contains: milk and soy ingredients. may contain: peanuts,nuts and wheat.",Nestle,4983091,Crunch Candy Bars 2.7 Oz,"This product is a Crunch Candy Bars 2.7 Oz from the brand Nestle. It falls under the category of food & grocery,gum & candy,chocolate,food,grocery and contains ingredients such as milk chocolate (sugar, chocolate, cocoa butter, nonfat milk, lactose, milkfat, soy lecithin, vanillin--an artificial flavor),crisped rice (rice flour, sugar, barley malt, salt),. contains: milk and soy ingredients. may contain: peanuts,nuts and wheat.. It is manufactured by nestle (manufacturer code: 4983091)."
119,Dell'Alpe,"Grocery & Gourmet Food,Food,Canned Vegetables,Grocery","peppers,soybean oil,celery,olives,vinegar,salt,spices.",Dell' Alpe,8579,Dell'Alpe Hot Giardiniera - 16Oz,"This product is a Dell'Alpe Hot Giardiniera - 16Oz from the brand Dell'Alpe. It falls under the category of grocery & gourmet food,food,canned vegetables,grocery and contains ingredients such as peppers,soybean oil,celery,olives,vinegar,salt,spices.. It is manufactured by dell' alpe (manufacturer code: 8579)."
120,Old Plantation,"Poultry Seasoning,Grocery & Gourmet Food,Food,Grocery","salt, red pepper, sage, sugar and black pepper,salt,red pepper,sage,sugar and black pepper",A.C. Legg,Blend #10,"A.C. Legg Inc #10 Pork Sausage Seasoning, 8 Oz","This product is a A.C. Legg Inc #10 Pork Sausage Seasoning, 8 Oz from the brand Old Plantation. It falls under the category of poultry seasoning,grocery & gourmet food,food,grocery and contains ingredients such as salt, red pepper, sage, sugar and black pepper,salt,red pepper,sage,sugar and black pepper. It is manufactured by a.c. legg (manufacturer code: blend #10)."
121,Goya Food,"Cookies,Other Grocery,Food,Grocery","guava pulp,refined sugar,citric acid,fdc red 3,fdc red 40,pectin.","GOYA FOODS, INC.",3080,Guava Paste,"This product is a Guava Paste from the brand Goya Food. It falls under the category of cookies,other grocery,food,grocery and contains ingredients such as guava pulp,refined sugar,citric acid,fdc red 3,fdc red 40,pectin.. It is manufactured by goya foods, inc. (manufacturer code: 3080)."
122,Chunky,"Food,Chocolate,Other Grocery,Grocery","milk chocolate (sugar, cocoa butter, chocolate processed with alkali, milk, lactose, milkfat, natural and artificial flavors, soy lecithin),raisins,peanuts,tbhq and citric acid",Nestle Usa/Confection,414664,"Chunky Candy Bar, 1.4 Oz","This product is a Chunky Candy Bar, 1.4 Oz from the brand Chunky. It falls under the category of food,chocolate,other grocery,grocery and contains ingredients such as milk chocolate (sugar, cocoa butter, chocolate processed with alkali, milk, lactose, milkfat, natural and artificial flavors, soy lecithin),raisins,peanuts,tbhq and citric acid. It is manufactured by nestle usa/confection (manufacturer code: 414664)."
123,Rold Gold,"Food & Grocery,Snacks,Pretzels,Grocery","enriched flour (wheat flour, niacin, reduced iron, thiamine mononitrate, riboflavin, and folic acid),vegetable oil (contains partially hydrogenated cottonseed and/or soybean oil),salt,corn syrup,yeast,malt extract,sodium bicarbonate,and ammonium bicarbonate.",Pepsi,033W004577931000,"Pretzel Rods, 10 Oz (283.5 G)","This product is a Pretzel Rods, 10 Oz (283.5 G) from the brand Rold Gold. It falls under the category of food & grocery,snacks,pretzels,grocery and contains ingredients such as enriched flour (wheat flour, niacin, reduced iron, thiamine mononitrate, riboflavin, and folic acid),vegetable oil (contains partially hydrogenated cottonseed and/or soybean oil),salt,corn syrup,yeast,malt extract,sodium bicarbonate,and ammonium bicarbonate.. It is manufactured by pepsi (manufacturer code: 033w004577931000)."
124,Folgers,"Food & Grocery,Beverages,Coffee,Grocery",100 pure coffee.,Folgers,33999611,"Coffeehouse Series Coffee, Ground, Gourmet Supreme, Dark, 34.5 Oz (2 Lb 2.5 Oz) (978 G)","This product is a Coffeehouse Series Coffee, Ground, Gourmet Supreme, Dark, 34.5 Oz (2 Lb 2.5 Oz) (978 G) from the brand Folgers. It falls under the category of food & grocery,beverages,coffee,grocery and contains ingredients such as 100 pure coffee.. It is manufactured by folgers (manufacturer code: 33999611)."
125,Cheez-it,"Food & Grocery,Snacks,Crackers,Grocery","unbleached enriched flour (wheat flour, niacin, reduced iron, thiamine mononitrate vitamin b1, riboflavin vitamin b2, folic acid),whole grain wheat flour,soybean oil,sugar,partially hydrogenated cottonseed oil,leavening (calcium phosphate and/or baking soda),salt,high fructose corn syrup,soy lecithin.",Kraft,184815,"Ritz Crackers, Whole Wheat, 14.20 Oz","This product is a Ritz Crackers, Whole Wheat, 14.20 Oz from the brand Cheez-it. It falls under the category of food & grocery,snacks,crackers,grocery and contains ingredients such as unbleached enriched flour (wheat flour, niacin, reduced iron, thiamine mononitrate vitamin b1, riboflavin vitamin b2, folic acid),whole grain wheat flour,soybean oil,sugar,partially hydrogenated cottonseed oil,leavening (calcium phosphate and/or baking soda),salt,high fructose corn syrup,soy lecithin.. It is manufactured by kraft (manufacturer code: 184815)."
126,Nabisco,"Food & Grocery,Snacks,Crackers,Grocery","unbleached enriched flour (wheat flour, niacin, reduced iron, thiamine mononitrate vitamin b1, riboflavin vitamin b2, folic acid),soybean oil,sugar,partially hydrogenated cottonseed oil,salt,leavening (baking soda and/or calcium phosphate),high fructose corn syrup,soy lecithin,malted barley flour,natural flavor.",Kraft,4400000028,"Ritz Crackers, Original, 15.1 Oz","This product is a Ritz Crackers, Original, 15.1 Oz from the brand Nabisco. It falls under the category of food & grocery,snacks,crackers,grocery and contains ingredients such as unbleached enriched flour (wheat flour, niacin, reduced iron, thiamine mononitrate vitamin b1, riboflavin vitamin b2, folic acid),soybean oil,sugar,partially hydrogenated cottonseed oil,salt,leavening (baking soda and/or calcium phosphate),high fructose corn syrup,soy lecithin,malted barley flour,natural flavor.. It is manufactured by kraft (manufacturer code: 4400000028)."
127,Cheez-It,"Crackers,Food & Grocery,Snacks,Grocery & Gourmet Food,Snack Foods,Grocery","enriched flour (wheat flour, niacin, reduced iron, thiamin mononitrate [vitamin b1], riboflavin [vitamin b2], folic acid),vegetable oil (soybean and palm oil with tbhq for freshness),cheese made with skim milk (skim milk, whey protein, cheese cultures, salt, enzymes, annatto extract for color),contains two percent or less of salt,paprika,yeast,paprika oleoresin for color,soy lecithin.",Kelloggs DSD,23732611,"Sunshine, Cheez-It Baked Snack Crackers Variety Caddy, 12 Ct, 12 Oz","This product is a Sunshine, Cheez-It Baked Snack Crackers Variety Caddy, 12 Ct, 12 Oz from the brand Cheez-It. It falls under the category of crackers,food & grocery,snacks,grocery & gourmet food,snack foods,grocery and contains ingredients such as enriched flour (wheat flour, niacin, reduced iron, thiamin mononitrate [vitamin b1], riboflavin [vitamin b2], folic acid),vegetable oil (soybean and palm oil with tbhq for freshness),cheese made with skim milk (skim milk, whey protein, cheese cultures, salt, enzymes, annatto extract for color),contains two percent or less of salt,paprika,yeast,paprika oleoresin for color,soy lecithin.. It is manufactured by kelloggs dsd (manufacturer code: 23732611)."
128,Folgers,"Grocery & Gourmet Food,Beverages,Food & Grocery,Coffee,Ground Coffee,Food","coffee, artificial flavor.,coffee,natural and artificial flavor.",J.M. Smucker,2550020153,Folgers Toasted Hazelnut Flavored Ground Coffee,"This product is a Folgers Toasted Hazelnut Flavored Ground Coffee from the brand Folgers. It falls under the category of grocery & gourmet food,beverages,food & grocery,coffee,ground coffee,food and contains ingredients such as coffee, artificial flavor.,coffee,natural and artificial flavor.. It is manufactured by j.m. smucker (manufacturer code: 2550020153)."
129,Sahale Snacks,"Food & Grocery,Bulk Food & Grocery,Bulk Snacks,Food","cashews,dried apples (apples, sugar, natural pomegranate flavor, citric acid, fruit vegetable juice (for color)),organic evaporated cane juice,organic tapioca syrup,brown sugar,natural vanilla extract,sea salt,dried pomegranate juice concentrate,dried orange peel,pure ground vanilla beans.",Sahale Snacks,HG1265040,Glazed Nuts - Cashews With Pomegranate And Vanilla - 1.5 Oz - Case Of 9,"This product is a Glazed Nuts - Cashews With Pomegranate And Vanilla - 1.5 Oz - Case Of 9 from the brand Sahale Snacks. It falls under the category of food & grocery,bulk food & grocery,bulk snacks,food and contains ingredients such as cashews,dried apples (apples, sugar, natural pomegranate flavor, citric acid, fruit vegetable juice (for color)),organic evaporated cane juice,organic tapioca syrup,brown sugar,natural vanilla extract,sea salt,dried pomegranate juice concentrate,dried orange peel,pure ground vanilla beans.. It is manufactured by sahale snacks (manufacturer code: hg1265040)."
130,Coffee-Mate,"Fresh Food,Other Grocery,Food","sugar,water,partially hydrogenated soybean and/or cottonseed oil,sodium caseinate (a milk derivative),**,and less than 2 of natural and artificial flavors,propylene glycol,dipotassium phosphate,polysorbate 60,sodium stearoyl lactylate,color added,sucralose (non-nutritive sweetener),. ** not a source of lactose.",Nestle,NES29600,Nestlï¿½Ï¿½ Coffee-Mate Peppermint Mocha Coffee Creamer 50.7 Fl. Oz. Pump,"This product is a Nestlï¿½Ï¿½ Coffee-Mate Peppermint Mocha Coffee Creamer 50.7 Fl. Oz. Pump from the brand Coffee-Mate. It falls under the category of fresh food,other grocery,food and contains ingredients such as sugar,water,partially hydrogenated soybean and/or cottonseed oil,sodium caseinate (a milk derivative),**,and less than 2 of natural and artificial flavors,propylene glycol,dipotassium phosphate,polysorbate 60,sodium stearoyl lactylate,color added,sucralose (non-nutritive sweetener),. ** not a source of lactose.. It is manufactured by nestle (manufacturer code: nes29600)."
131,Rosenborg,"Food,Fresh Food,Cheese,Grocery","milk,salt,cheese culture,rennet,p. roqueforti.",Swiss American Inc,ROSENBORG BLUE,"Rosenborg Crumbled Danish Blue Cheese, 5 Oz","This product is a Rosenborg Crumbled Danish Blue Cheese, 5 Oz from the brand Rosenborg. It falls under the category of food,fresh food,cheese,grocery and contains ingredients such as milk,salt,cheese culture,rennet,p. roqueforti.. It is manufactured by swiss american inc (manufacturer code: rosenborg blue)."
132,SMARTFOOD,"Food & Grocery,Snacks,Popcorn,Food","popcorn,vegetable oil (corn, canola and/or sunflower oil),cheddar cheese (milk, cheese cultures, salt, enzymes),whey,buttermilk and salt.",Frito-Lay,43789,S White Che2.25Oz Ddar 2.25 Oz,"This product is a S White Che2.25Oz Ddar 2.25 Oz from the brand SMARTFOOD. It falls under the category of food & grocery,snacks,popcorn,food and contains ingredients such as popcorn,vegetable oil (corn, canola and/or sunflower oil),cheddar cheese (milk, cheese cultures, salt, enzymes),whey,buttermilk and salt.. It is manufactured by frito-lay (manufacturer code: 43789)."
133,KING'S HAWAIIAN,"Fresh Food,Other Grocery,Food","enriched flour (wheat flour, malted barley flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid),water,sugar,liquid sugar (sugar, water),butter (pasteurized cream, salt),eggs,contains less than 2% of each of the following: potato flour,yeast,whey,nonfat milk,soy flour,salt,degerminated yellow corn flour,wheat gluten,sodium stearoyl lactylate,datem,monocalcium phosphate,wheat flour,calcium sulfate,sodium silicoaluminate,ascorbic acid added as a dough conditioner,ammonium sulfate,wheat starch,sorbitan monostearate,enzymes,microcrystalline cellulose,calcium silicate. contains: wheat,milk,eggs,soy.",King's Hawaiian Bakery,7018,"King'S Hawaiian Original Hawaiian Sweet Rolls, 18 Count, 18 Oz","This product is a King'S Hawaiian Original Hawaiian Sweet Rolls, 18 Count, 18 Oz from the brand KING'S HAWAIIAN. It falls under the category of fresh food,other grocery,food and contains ingredients such as enriched flour (wheat flour, malted barley flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid),water,sugar,liquid sugar (sugar, water),butter (pasteurized cream, salt),eggs,contains less than 2% of each of the following: potato flour,yeast,whey,nonfat milk,soy flour,salt,degerminated yellow corn flour,wheat gluten,sodium stearoyl lactylate,datem,monocalcium phosphate,wheat flour,calcium sulfate,sodium silicoaluminate,ascorbic acid added as a dough conditioner,ammonium sulfate,wheat starch,sorbitan monostearate,enzymes,microcrystalline cellulose,calcium silicate. contains: wheat,milk,eggs,soy.. It is manufactured by king's hawaiian bakery (manufacturer code: 7018)."
134,Arizona,"Food & Grocery,Beverages,Tea,Food","water,high fructose corn syrup,natural flavors,citric acid,sodium hexametaphosphate (to protect taste),phosphoric acid,red rooibos tea powder,potassium sorbate and sodium benzoate (to protect taste),sucralose,calcium disodium edta (to protect taste),vitamin b6 (pyridoxine hydrochloride),red 40,vitamin b12 (cyanocobalamin),.",The Coca-Cola Company,80793808830,Fuze Iced Tea Strawb2Lt Erry Red Tea-Ko,"This product is a Fuze Iced Tea Strawb2Lt Erry Red Tea-Ko from the brand Arizona. It falls under the category of food & grocery,beverages,tea,food and contains ingredients such as water,high fructose corn syrup,natural flavors,citric acid,sodium hexametaphosphate (to protect taste),phosphoric acid,red rooibos tea powder,potassium sorbate and sodium benzoate (to protect taste),sucralose,calcium disodium edta (to protect taste),vitamin b6 (pyridoxine hydrochloride),red 40,vitamin b12 (cyanocobalamin),.. It is manufactured by the coca-cola company (manufacturer code: 80793808830)."
135,Wheat Thins,"Food & Grocery,Snacks,Crackers,Food","whole grain wheat flour,soybean oil,sugar,cornstarch,malt syrup (from corn and barley),invert sugar,salt,vegetable color (annatto extract, turmeric oleoresin),. bht added to packaging material to preserve freshness.",Mondelez Global LLC,30384,Hint Of Salt Crackers 9.1 Oz,"This product is a Hint Of Salt Crackers 9.1 Oz from the brand Wheat Thins. It falls under the category of food & grocery,snacks,crackers,food and contains ingredients such as whole grain wheat flour,soybean oil,sugar,cornstarch,malt syrup (from corn and barley),invert sugar,salt,vegetable color (annatto extract, turmeric oleoresin),. bht added to packaging material to preserve freshness.. It is manufactured by mondelez global llc (manufacturer code: 30384)."
136,Great Value,"Other Grocery,Fresh Food,Food","heavy cream,sugar,contains less than 1% of: artificial flavor,mono and diglycerides,polysorbate 80,carrageenan,mixed tocopherols (vitamin e),to protect flavor,propellant: nitrous oxide. allergy warning: contains milk.","Wal-Mart Stores, Inc.",71002,"Great Value Extra Creamy Whipped Cream, 6.5 Oz","This product is a Great Value Extra Creamy Whipped Cream, 6.5 Oz from the brand Great Value. It falls under the category of other grocery,fresh food,food and contains ingredients such as heavy cream,sugar,contains less than 1% of: artificial flavor,mono and diglycerides,polysorbate 80,carrageenan,mixed tocopherols (vitamin e),to protect flavor,propellant: nitrous oxide. allergy warning: contains milk.. It is manufactured by wal-mart stores, inc. (manufacturer code: 71002)."
137,Great Value,"Other Grocery,Fresh Food,Food","heavy cream,sugar,contains less than 1% of: artificial flavor,mono and diglycerides,polysorbate 80,carrageenan,mixed tocopherols (vitamin e),to protect flavor,propellant: nitrous oxide. allergy warning: contains milk.","Wal-Mart Stores, Inc.",171100,"Great Value Extra Creamy Whipped Cream, 13 Oz","This product is a Great Value Extra Creamy Whipped Cream, 13 Oz from the brand Great Value. It falls under the category of other grocery,fresh food,food and contains ingredients such as heavy cream,sugar,contains less than 1% of: artificial flavor,mono and diglycerides,polysorbate 80,carrageenan,mixed tocopherols (vitamin e),to protect flavor,propellant: nitrous oxide. allergy warning: contains milk.. It is manufactured by wal-mart stores, inc. (manufacturer code: 171100)."
138,Artisana,"Fresh Food,Food,Produce,Grocery","organic raw coconut (100),.",Artisana,1572023,Artisana Nut Bttr Ccnut Raw Sqz Pk Org 1.06 Oz (Pack Of 10),"This product is a Artisana Nut Bttr Ccnut Raw Sqz Pk Org 1.06 Oz (Pack Of 10) from the brand Artisana. It falls under the category of fresh food,food,produce,grocery and contains ingredients such as organic raw coconut (100),.. It is manufactured by artisana (manufacturer code: 1572023)."
